zip,id
08028,2
08031,2
08034,2
08036,1
08037,7
08038,7
08046,2
08050,3
08051,2
08052,1
08053,2
08054,5
08059,1
08060,3
08062,1
08066,1
08067,3
08069,1
08075,1
08077,1
08078,1
08080,2
08081,4
08083,1
08085,1
08087,1
08088,1
08093,1
08096,4
08098,1
08102,3
08108,2
08109,2
08202,2
08203,1
08204,3
08205,4
08210,1
08215,2
08217,1
08226,3
08234,7
08240,1
08247,1
08260,5
08312,1
08318,1
08328,1
08330,3
08360,1
08401,4
08505,2
08510,1
08512,1
08520,1
08525,1
08527,1
08528,1
08530,1
08534,4
08536,4
08540,12
08542,2
08550,2
08558,3
08559,2
08609,1
08611,2
08619,3
08620,2
08628,7
08638,1
08648,8
08690,4
08691,5
08723,1
08731,2
08736,2
08750,1
08751,6
08753,1
08757,1
08805,4
08807,6
08809,3
08816,13
08817,11
08820,1
08822,8
08830,2
08831,2
08833,3
08837,5
08840,2
08844,2
08852,2
08853,1
08854,3
08857,7
08861,2
08869,2
08873,3
08876,8
08879,6
08882,1
08886,2
08901,3
08902,3
08904,3
09048,1
10001,10
10002,5
10003,14
10004,2
10005,3
10006,1
10007,3
10010,9
10011,15
10012,5
10013,10
10014,9
10016,25
10017,6
10018,2
10019,30
10021,23
10022,21
10023,19
10024,11
10025,20
10026,1
10027,2
10028,19
10029,4
10030,1
10032,1
10033,5
10035,1
10036,10
10038,3
10044,11
10065,20
10069,11
10075,11
10080,1
10105,1
10128,12
10155,7
10172,1
10280,6
10281,1
10282,3
10301,2
10305,7
10306,2
10307,1
10309,2
10310,1
10314,20
10451,1
10459,1
10460,3
10463,4
10465,1
10466,2
10467,4
10468,2
10469,1
10470,1
10471,3
10473,1
10475,2
10505,1
10506,1
10507,4
10509,2
10512,1
10514,5
10520,2
10522,2
10523,2
10524,1
10530,2
10532,1
10533,5
10535,1
10536,4
10538,5
10541,2
10543,3
10548,1
10549,2
10552,2
10562,7
10566,1
10567,1
10570,3
10573,4
10576,1
10577,1
10580,3
10583,5
10589,2
10590,1
10591,7
10594,1
10595,7
10598,3
10601,6
10603,1
10604,4
10605,6
10606,7
10701,5
10704,1
10706,1
10707,9
10708,4
10710,3
10801,5
10802,1
10803,1
10804,1
10901,9
10911,1
10913,1
10917,2
10918,1
10922,1
10924,6
10926,1
10927,1
10928,1
10940,14
10941,2
10952,2
10954,7
10956,3
10958,1
10960,2
10962,1
10965,7
10968,1
10976,2
10977,2
10990,2
10992,1
10994,1
11010,1
11022,1
11040,4
11096,2
11101,20
11103,1
11105,2
11106,3
11109,3
11201,22
11203,4
11205,7
11206,2
11209,2
11211,8
11212,1
11213,1
11215,12
11216,1
11217,10
11219,10
11220,1
11221,1
11222,2
11224,1
11225,1
11230,1
11231,7
11232,4
11233,1
11235,1
11238,4
11239,1
11248,2
11249,10
11354,8
11355,3
11360,1
11361,1
11364,1
11367,1
11368,2
11369,4
11371,7
11372,3
11373,3
11374,2
11375,7
11377,4
11378,1
11379,3
11385,1
11413,1
11415,3
11417,1
11423,1
11430,8
11432,3
11433,6
11501,1
11514,3
11520,3
11530,9
11542,2
11545,1
11548,1
11550,3
11552,1
11553,1
11554,2
11556,1
11566,1
11568,1
11569,1
11570,4
11572,2
11577,2
11580,1
11581,2
11590,7
11598,1
11692,1
11694,1
11701,3
11702,3
11703,7
11705,1
11706,5
11710,2
11715,1
11717,2
11720,6
11724,1
11725,1
11726,1
11729,7
11732,1
11733,1
11735,7
11738,5
11743,7
11746,4
11747,11
11754,1
11755,3
11756,1
11757,4
11758,3
11762,1
11763,2
11766,1
11767,1
11768,1
11769,2
11771,1
11772,7
11776,1
11777,4
11780,2
11784,2
11787,3
11788,5
11790,13
11791,2
11793,2
11795,3
11797,1
11801,4
11803,3
11901,21
11931,1
11932,4
11933,1
11934,1
11935,2
11937,6
11944,2
11946,1
11947,2
11948,1
11949,3
11954,8
11958,2
11961,9
11963,4
11964,6
11967,1
11968,7
